Dataset,Group,Seq,th,ACC,PREC,Rec,F1(macro),F1(weighted),AUC,ASA,FAR
Darknet2020,DK_EXP2_DRIFT1,10,0.391487,0.9848,0.3333,0.3283,0.3308,0.9924,0.5,0,0.0152
Darknet2020,DK_EXP3_DRIFT2,10,0.362092,0.9646,0.3333,0.3215,0.3273,0.982,0.5,0,0.0354
Darknet2020,DK_EXP4_NOEDGE,10,0.473821,0.8535,0.3333,0.2845,0.307,0.921,0.5,0,0.0253
Darknet2020,DK_EXP1_BASE,10,0.47265,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP2_DRIFT1,10,0.484748,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP3_DRIFT2,10,0.329893,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP4_NOEDGE,10,0.465956,0.9858,0.5,0.4929,0.4964,0.9929,0.5,0,0
Darknet2020,DK_EXP1_BASE,10,0.420071,0.9667,0.5,0.4833,0.4915,0.9831,0.5,0,0.0333
Darknet2020,DK_EXP2_DRIFT1,10,0.412455,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP3_DRIFT2,10,0.323554,0.8667,0.3333,0.2889,0.3095,0.9286,0.5,0,0.1333
Darknet2020,DK_EXP4_NOEDGE,10,0.41354,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP1_BASE,10,0.34443,0.5172,0.3333,0.1724,0.2273,0.6818,0.5,0,0.4828
Darknet2020,DK_EXP2_DRIFT1,10,0.391553,0.9828,0.5,0.4914,0.4957,0.9913,0.5,0,0.0172
Darknet2020,DK_EXP3_DRIFT2,10,0.410061,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP4_NOEDGE,10,0.397261,0.931,0.5,0.4655,0.4821,0.9643,0.5,0,0.069
Darknet2020,DK_EXP1_BASE,10,0.476479,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP2_DRIFT1,10,0.414781,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP3_DRIFT2,10,0.44878,1,1,1,1,1,0.5,0,0
Darknet2020,DK_EXP4_NOEDGE,10,0.420773,0.9577,0.3333,0.3192,0.3261,0.9784,0.5,0,0.0423
Darknet2020,DK_EXP1_BASE,10,0.373613,1,1,1,1,1,0.5,0,0
